Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.35,0.77,37,0.6094132061311401,6.245359619831254e-05,0.5438700650902122,0.0005028609780937362
0.35,0.79,37,0.5823203715598553,0.00015613485710079048,0.5353331902948132,0.0006398975948782205
0.35,0.81,37,0.583348064900721,0.00015102359666224738,0.4922931132013431,0.001967900483677906
0.35,0.83,37,0.4570347991665521,0.004459098249719711,0.39139199582794654,0.016599017728028746
0.35,0.85,37,0.42422160385998003,0.008877043773973976,0.36601850685273274,0.02588481238181242
0.35,0.87,37,0.44104727875337546,0.006288278080038609,0.37751957428542304,0.021249490653071086
0.35,0.89,37,0.5231353499120261,0.000893188770687966,0.4694095460414541,0.0033788900496570695
0.35,0.91,36,0.2571118102834923,0.13007489202319802,0.44937891035297384,0.005968915370010768
0.35,0.93,36,0.4551602425785476,0.005282631853311237,0.5549333951680522,0.0004437565227709047
0.35,0.95,28,0.1630496016289826,0.4070984687596066,0.24965782484851262,0.20011020220370404
0.37,0.45,37,0.4284587684684872,0.008151766000429737,0.4451031664156653,0.0057719216855992884
0.37,0.47,37,0.4354320465135095,0.007068462079243803,0.45067584857377296,0.00512230469619606
0.37,0.49,37,0.44090096066102386,0.006307625546501811,0.4602798327185968,0.004150302786419204
0.37,0.51,37,0.44559447842925926,0.005711927510237629,0.44925303610787315,0.005281846472422389
0.37,0.53,37,0.4642831997932328,0.003795034487983334,0.4465259788815651,0.005599656627457196
0.37,0.55,37,0.49273750435312325,0.0019466299733709082,0.46288832223941323,0.003915697559016536
0.37,0.57,37,0.5273324093394586,0.0007974823162891583,0.48956605597503516,0.0021029508462854247
